,W##other##,A##area##inches,d##length##inches,b##length##inches,t##length##inches,k##length##inches,x##length##inches,y##length##inches
L3X3X1/2,9.4,2.75,3,3,0.500,0.875,0.929,0.929
L3X3X7/16,8.3,2.43,3,3,0.438,0.813,0.907,0.907
L3X3X3/8,7.2,2.11,3,3,0.375,0.750,0.884,0.884
L3X3X5/16,6.0,1.78,3,3,0.313,0.688,0.860,0.860
L3X3X1/4,4.9,1.44,3,3,0.250,0.625,0.836,0.836
L3X3X3/16,3.7,1.09,3,3,0.188,0.563,0.812,0.812
L3X2-1/2X1/2,8.5,2.51,3,2.5,0.500,0.875,0.746,0.995
L3X2-1/2X7/16,7.6,2.22,3,2.5,0.438,0.813,0.724,0.972
L3X2-1/2X3/8,6.6,1.93,3,2.5,0.375,0.750,0.701,0.949
L3X2-1/2X5/16,5.5,1.63,3,2.5,0.313,0.688,0.677,0.925
L3X2-1/2X1/4,4.5,1.32,3,2.5,0.250,0.625,0.653,0.900
L3X2-1/2X3/16,3.4,1.00,3,2.5,0.188,0.563,0.627,0.874
L3X2X1/2,7.7,2.26,3,2,0.500,0.813,0.580,1.080
L3X2X3/8,6.0,1.75,3,2,0.375,0.688,0.535,1.030
L3X2X5/16,5.0,1.48,3,2,0.313,0.625,0.511,1.010
L3X2X1/4,4.1,1.20,3,2,0.250,0.563,0.487,0.980
L3X2X3/16,3.1,0.92,3,2,0.188,0.500,0.462,0.952
L2-1/2X2-1/2X1/2,7.7,2.25,2.5,2.5,0.500,0.750,0.803,0.803
L2-1/2X2-1/2X3/8,5.9,1.73,2.5,2.5,0.375,0.625,0.758,0.758
L2-1/2X2-1/2X5/16,5.0,1.46,2.5,2.5,0.313,0.563,0.735,0.735
L2-1/2X2-1/2X1/4,4.0,1.19,2.5,2.5,0.250,0.500,0.711,0.711
L2-1/2X2-1/2X3/16,3.1,0.90,2.5,2.5,0.188,0.438,0.687,0.687
L2-1/2X2X3/8,5.3,1.56,2.5,2,0.375,0.625,0.578,0.826
L2-1/2X2X5/16,4.5,1.32,2.5,2,0.313,0.563,0.555,0.803
L2-1/2X2X1/4,3.7,1.07,2.5,2,0.250,0.500,0.532,0.779
L2-1/2X2X3/16,2.8,0.82,2.5,2,0.188,0.438,0.508,0.754
L2X2X3/8,4.7,1.37,2,2,0.375,0.625,0.632,0.632
L2X2X5/16,3.9,1.16,2,2,0.313,0.563,0.609,0.609
L2X2X1/4,3.2,0.94,2,2,0.250,0.500,0.586,0.586
L2X2X3/16,2.5,0.72,2,2,0.188,0.438,0.561,0.561
L2X2X1/8,1.7,0.49,2,2,0.125,0.375,0.534,0.534
